subject,start_time,end_time,duration_minutes,date
C语言,2026-02-23 19:07:19,2026-02-23 19:46:49,39.49,2026-02-23
整理,2026-03-06 08:56:26,2026-03-06 09:36:47,40.34,2026-03-06
计算机组成原理,2026-03-08 19:49:35,2026-03-08 21:56:54,127.32,2026-03-08
C语言,2026-03-09 22:23:54,2026-03-09 22:27:44,3.83,2026-03-09
C语言,2026-03-10 09:36:16,2026-03-10 11:28:56,112.66,2026-03-10
C语言,2026-03-10 12:44:12,2026-03-10 13:30:10,45.96,2026-03-10
C语言,2026-03-11 20:36:05,2026-03-11 22:17:50,101.75,2026-03-11
C语言,2026-03-12 16:27:47,2026-03-12 22:27:40,359.88,2026-03-12
C语言,2026-03-13 20:33:31,2026-03-13 22:32:04,118.56,2026-03-13
C语言,2026-03-14 21:22:58,2026-03-14 22:54:05,91.12,2026-03-14
C语言,2026-03-17 09:01:53,2026-03-17 20:56:08,714.24,2026-03-17
整理,2026-03-18 17:52:25,2026-03-18 21:37:13,224.79,2026-03-18
C语言,2026-03-18 21:37:14,2026-03-18 22:05:12,27.95,2026-03-18
高等数学,2026-03-22 17:40:08,2026-03-22 19:27:40,107.54,2026-03-22
C语言,2026-03-22 19:27:42,2026-03-22 19:53:33,25.86,2026-03-22
计算机组成原理,2026-03-23 20:54:03,2026-03-23 22:13:56,79.87,2026-03-23
计算机组成原理,2026-03-24 20:05:34,2026-03-24 20:33:29,27.91,2026-03-24
C语言,2026-03-24 20:33:31,2026-03-24 22:14:09,100.64,2026-03-24
计算机组成原理,2026-03-25 22:24:28,2026-03-25 22:26:43,2.25,2026-03-25
C语言,2026-03-26 22:26:23,2026-03-26 22:38:27,12.06,2026-03-26
C语言,2026-03-30 12:56:21,2026-03-30 14:17:25,81.06,2026-03-30
C语言,2026-03-31 21:50:17,2026-03-31 22:40:49,50.53,2026-03-31
